code,nom,departement,surface_ha,foret_ha,taux_boisement,score,total_perturb_ha,taux_coupe_annuel
02341,Gercy,02,647.554,35.652,5.506,E,1.49,0.539
02342,Gergny,02,601.003,45.101,7.504,E,0.99,0.283
02343,Germaine,02,459.73,9.643,2.098,E,0.25,0.335
02345,Gibercourt,02,267.679,49.522,18.5,D,0.0,0.0
02346,Gizy,02,1037.814,139.982,13.488,E,15.73,1.45
02347,Gland,02,556.248,262.084,47.116,E,41.65,2.051
02349,Goudelancourt-lès-Berrieux,02,556.293,127.471,22.914,C,1.24,0.126
02350,Goudelancourt-lès-Pierrepont,02,874.281,11.795,1.349,E,0.0,0.0
02351,Goussancourt,02,857.683,232.953,27.161,E,30.73,1.702
02352,Gouy,02,1768.592,27.629,1.562,E,0.52,0.243
02353,Grandlup-et-Fay,02,2068.085,89.513,4.328,E,3.81,0.549
02354,Grandrieux,02,433.045,55.808,12.887,D,1.66,0.384
02355,Gricourt,02,1003.192,63.489,6.329,E,1.84,0.374
02356,Grisolles,02,1090.975,176.416,16.17,D,12.48,0.913
02357,Gronard,02,718.551,12.382,1.723,E,1.13,1.178
02358,Grougis,02,1143.97,27.475,2.402,E,3.19,1.498
02359,Grugies,02,512.618,48.264,9.415,E,0.73,0.195
02360,Villeneuve-sur-Aisne,02,1803.983,148.043,8.206,E,9.34,0.814
02361,Guise,02,1624.407,121.563,7.484,E,0.1,0.011
02362,Guivry,02,724.465,237.29,32.754,D,12.29,0.668
02363,Guny,02,938.415,312.595,33.311,E,47.99,1.981
02364,Guyencourt,02,423.745,139.882,33.011,C,5.14,0.474
02366,Hannapes,02,926.749,346.744,37.415,E,36.49,1.358
02367,Happencourt,02,521.057,86.999,16.697,E,8.6,1.276
02368,Haramont,02,1229.849,926.448,75.33,C,25.2,0.351
02369,Harcigny,02,760.16,106.457,14.005,D,2.31,0.28
02370,Hargicourt,02,809.248,23.215,2.869,E,0.0,0.0
02371,Harly,02,368.643,19.239,5.219,E,1.75,1.174
02372,Hartennes-et-Taux,02,618.344,151.59,24.515,C,1.52,0.129
02373,Hary,02,1126.928,36.927,3.277,E,0.59,0.206
02374,Lehaucourt,02,942.67,34.611,3.672,E,0.0,0.0
02375,Hautevesnes,02,726.796,75.672,10.412,D,0.98,0.167
02376,Hauteville,02,715.319,20.737,2.899,E,0.27,0.168
02377,Haution,02,950.298,32.441,3.414,E,1.69,0.672
02378,La Hérie,02,426.347,45.041,10.564,D,0.0,0.0
02379,Le Hérie-la-Viéville,02,928.55,73.546,7.92,E,0.0,0.0
02380,Hinacourt,02,305.232,12.068,3.954,E,0.94,1.005
02381,Hirson,02,3399.339,2243.8,66.007,D,143.76,0.827
02382,Holnon,02,644.297,150.217,23.315,D,7.38,0.634
02383,Homblières,02,1471.923,96.951,6.587,E,5.36,0.713
02384,Houry,02,349.321,12.026,3.443,E,0.0,0.0
02385,Housset,02,1329.722,10.634,0.8,E,0.0,0.0
02386,Iron,02,978.969,107.301,10.961,D,4.14,0.498
02387,Itancourt,02,704.433,23.617,3.353,E,0.05,0.027
02388,Iviers,02,756.129,75.224,9.949,E,4.38,0.751
02389,Jaulgonne,02,176.495,35.935,20.36,C,0.0,0.0
02390,Jeancourt,02,578.144,8.507,1.471,E,0.0,0.0
02391,Jeantes,02,1565.413,92.707,5.922,E,3.24,0.451
02392,Joncourt,02,735.331,4.215,0.573,E,0.0,0.0
02393,Jouaignes,02,805.806,100.049,12.416,D,1.02,0.132
02395,Jumencourt,02,620.713,159.699,25.728,D,12.99,1.05
02396,Jumigny,02,253.539,28.079,11.075,D,0.0,0.0
02397,Jussy,02,1349.027,245.26,18.18,D,6.48,0.341
02398,Juvigny,02,1400.45,272.42,19.452,D,19.22,0.91
02399,Juvincourt-et-Damary,02,3013.986,182.905,6.069,E,1.22,0.086
02400,Laffaux,02,675.654,149.027,22.057,C,4.64,0.402
